StoreId,Mean of Rows Added,Mean of Total Rows,Mean of Uploaded Files Count,Variance of Rows Added,Variance of Total Rows,Variance of Uploaded Files Count,Standard Deviation of Rows Added,Standard Deviation of Total Rows,Standard Deviation of Uploaded Files Count
3785,71.81481481481481,92.33333333333333,0.25925925925925924,15302.079772079764,17706.69230769231,0.19943019943019946,123.70157546320809,133.0664958120274,0.4465760847047225
3786,56.851851851851855,102.33333333333333,0.18518518518518517,14768.361823361829,21749.76923076924,0.15669515669515674,121.5251489337159,147.47802965448528,0.39584739066356966
3787,3076.740740740741,3461.3333333333335,0.2962962962962963,23347255.430199437,24883259.076923065,0.21652421652421647,4831.899774436493,4988.312247336074,0.4653216269680751
3788,487.4074074074074,548.3333333333334,0.2962962962962963,585919.9430199431,624467.3076923075,0.21652421652421647,765.4540763624838,790.2324390281049,0.4653216269680751
3789,992.0,1116.0,0.2962962962962963,2427042.4615384615,2586716.3076923075,0.21652421652421647,1557.8968070891158,1608.3271768182951,0.4653216269680751
3790,2.962962962962963,13.333333333333334,0.07407407407407407,113.960113960114,369.2307692307691,0.07122507122507124,10.675210253672477,19.215378456610452,0.2668802563418119
3791,828.7407407407408,932.3333333333334,0.2962962962962963,1693914.1994301986,1805355.9230769235,0.21652421652421647,1301.504590629706,1343.6353385784862,0.4653216269680751
3792,1563.5555555555557,2345.3333333333335,0.2222222222222222,8885565.948717954,11424299.076923074,0.17948717948717957,2980.8666439003864,3379.9850705177787,0.4236592728681618
3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3795,292.7037037037037,664.6666666666666,3.4814814814814814,217328.83190883184,170519.69230769234,4.413105413105414,466.18540507917214,412.9403011425409,2.100739253954525
3796,54.18518518518518,295.9259259259259,2.7777777777777777,4605.925925925926,89305.5327635328,3.487179487179487,67.86697227610736,298.8403131499042,1.867399123695705
3797,0.8148148148148148,7.333333333333333,0.037037037037037035,17.92592592592592,111.69230769230775,0.037037037037037014,4.233901974057255,10.568458151135754,0.1924500897298752
3798,186.25925925925927,223.4814814814815,0.37037037037037035,158518.58404558408,181527.64387464384,1.396011396011397,398.14392378332747,426.06061056455786,1.1815292615976114
3799,5856.925925925926,7695.592592592592,1.5925925925925926,283619419.68660986,268450702.55840445,4.712250712250711,16841.00411752844,16384.465281430592,2.17077191622029
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3801,29.0,29.0,0.3333333333333333,1746.6923076923076,1746.6923076923076,0.23076923076923073,41.79344814312774,41.79344814312774,0.48038446141526137
3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3804,66.66666666666667,75.0,0.2962962962962963,10961.538461538456,11682.692307692309,0.21652421652421647,104.69736606781689,108.08650381843383,0.4653216269680751
3805,167.11111111111111,188.0,0.2962962962962963,68875.48717948719,73406.76923076923,0.21652421652421647,262.4413976099944,270.93683623820743,0.4653216269680751
3806,0.0,1532.6666666666667,0.0,0.0,3640345.153846152,0.0,0.0,1907.968855575518,0.0
3807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
